,Shareholders_Funds,Secured_Loans,Debt___Loan_Funds,Liabilities,Sundry_Debtors,Inventories,Cash_and_Bank_Balance,Current_Assets,Current_Liabilities,Sales_Turnover___Operating_Incom,Net_Sales,Income,Operating_Profit,Rating
5453,628.4,519.19,602.07,1232.62,885.7,357.85,96.62,1366.21,367.68,3824.84,3824.84,3914.35,140.52,1
5454,593.05,454.64,492.88,1087.76,861.28,267.58,137.44,1303.19,463.29,3439.38,3439.38,3388.37,117.92,1
5455,550.3,649.74,657.61,1209.97,584.01,297.37,105.5,1013.62,54.15,2888.79,2888.79,3018.43,105.01,1
5456,533.92,368.33,376.21,911.86,460.27,169.97,58.06,716.43,54.13,2267.38,2267.38,2357.66,111.13,1
5457,314.31,286.98,287.23,602.26,267.19,102.36,30.33,415.39,45.37,2040.83,2040.83,2077.4,93.3,1
5458,277.18,161.05,162.29,439.47,99.98,123.4,18.4,267.68,31.89,1307.75,1307.75,1329.85,67.15,1
5459,25.57,13.75,16.05,41.62,0.54,4.24,0.08,6.64,2.94,20.57,20.57,21.3,5.89,0
5460,17.51,11.73,15.25,32.76,0.32,3.26,0.22,5.46,2.62,14.38,14.38,15.58,1.59,0
5461,1530.28,0.0,0.0,1571.56,371.5,533.72,284.81,1313.31,567.53,3027.82,2991.75,3093.35,987.69,0
5462,833.56,163.61,193.61,1049.38,337.94,382.48,4.41,840.98,430.35,2034.04,2018.99,2094.48,410.42,0
5463,629.69,71.34,109.4,758.47,260.56,310.78,5.34,669.85,381.25,1851.5,1843.79,1888.22,362.81,0
5464,459.76,91.83,186.8,665.38,232.38,266.83,4.25,582.97,319.41,1501.39,1492.64,1484.64,257.1,0
5465,360.86,191.13,352.72,731.26,186.83,258.74,25.73,626.15,249.76,1379.84,1374.3,1451.5,221.36,0
5466,276.21,275.61,327.91,621.06,201.97,219.23,1.28,507.45,189.41,1172.59,1164.93,1173.43,159.51,0
5467,51.46,4.0,4.13,55.65,3.81,0.55,9.72,41.24,4.21,82.47,82.28,85.98,3.27,0
5468,51.07,60.36,60.46,111.57,10.18,29.02,33.19,96.08,1.39,116.38,116.09,114.37,3.69,0
5469,50.2,34.67,35.87,86.07,9.03,18.06,22.92,75.23,4.67,127.36,127.11,136.58,3.69,0
5470,48.78,71.86,73.54,122.32,7.26,35.78,44.66,105.13,2.24,116.87,116.39,120.03,4.89,0
5471,22.17,47.54,48.0,70.17,2.24,37.29,10.35,64.25,2.21,74.92,74.91,107.57,3.32,0
5472,20.49,15.5,16.16,36.65,5.15,6.99,8.76,31.2,1.29,27.96,27.96,35.46,4.83,0
5473,174.95,254.86,338.06,513.78,194.17,106.9,3.79,333.17,96.85,729.33,656.56,632.09,45.77,0
5474,169.73,317.72,350.47,520.93,178.98,132.89,8.65,339.89,93.69,734.18,661.6,670.57,18.96,0
5475,185.76,281.32,294.79,481.18,122.76,119.31,13.9,284.92,82.87,408.66,370.6,509.54,4.44,0
5476,195.18,307.05,307.05,502.87,102.26,113.7,30.27,267.72,76.3,494.75,445.24,476.32,23.24,0
5477,190.33,214.38,244.19,435.19,105.49,95.83,87.11,306.65,31.59,581.19,524.43,528.37,52.21,0
5478,164.43,26.97,58.99,223.93,87.55,97.98,5.29,201.4,28.95,124.52,113.06,121.47,12.71,0
5479,36.93,34.16,45.2,82.13,40.41,23.27,0.35,66.1,10.31,33.92,33.47,33.04,-11.63,0
5480,48.98,29.67,49.59,98.57,49.34,28.37,0.41,79.93,15.11,85.63,84.18,82.9,8.64,0
5481,47.88,30.43,43.32,91.2,39.09,26.34,0.97,68.35,13.77,82.67,81.33,85.62,10.63,0
5482,21.62,30.74,35.21,56.83,23.98,19.78,0.72,44.63,11.19,80.54,79.16,79.79,8.47,0
5483,18.87,19.94,22.15,41.02,18.7,11.34,0.3,39.51,7.47,51.87,51.04,51.09,5.44,0
5484,82.74,44.27,47.29,130.11,28.69,27.33,4.38,79.81,28.55,280.39,254.81,249.89,18.12,0
5485,83.25,56.0,59.4,142.72,30.0,31.26,3.8,82.61,28.79,248.63,226.38,231.28,17.13,0
5486,81.86,55.45,59.58,141.78,24.8,28.68,6.63,74.06,22.58,236.54,214.4,217.21,-2.99,0
5487,91.93,36.26,36.26,128.52,16.24,28.43,3.24,61.11,14.91,239.51,220.13,235.78,17.75,0
5488,45.32,36.02,36.02,81.65,16.71,19.21,2.51,50.63,53.02,156.9,145.38,145.07,19.81,0
5489,40.37,52.04,56.77,97.14,5.95,6.44,0.95,36.66,12.2,91.96,91.93,90.82,14.92,0
5490,86.57,14.77,14.77,101.49,31.62,10.09,0.4,65.67,11.33,57.08,57.08,55.08,5.0,0
5491,78.2,15.08,15.08,93.43,17.51,14.22,0.32,50.73,4.83,80.29,80.29,84.95,5.65,0
5492,69.07,18.79,18.79,87.98,19.65,11.36,1.06,43.93,4.52,37.69,37.69,38.59,5.56,0
5493,52.72,22.4,22.4,75.21,31.99,12.18,0.38,56.41,32.53,50.79,50.79,50.56,4.99,0
5494,51.32,17.53,17.53,68.9,34.72,13.33,5.4,65.3,18.05,77.49,77.49,88.27,7.33,0
5495,12.35,16.34,16.34,28.76,33.7,3.43,5.89,43.95,32.21,101.05,101.05,97.28,5.63,0
5496,8.38,7.28,7.28,15.66,17.06,7.27,0.23,25.43,18.18,32.37,32.37,38.31,2.4,0
5497,22.92,16.51,20.14,43.24,29.45,10.52,1.5,45.15,10.64,66.23,66.23,67.93,6.49,0
5498,17.19,12.92,15.35,32.66,28.65,5.81,0.84,36.99,13.37,58.53,58.53,58.31,7.08,0
5499,13.69,10.44,17.45,30.59,20.47,7.12,0.52,34.12,11.21,40.11,40.1,38.85,5.48,0
5500,10.36,7.64,7.99,18.04,11.28,7.73,0.5,20.02,5.26,36.81,36.81,39.04,4.43,0
5501,8.28,7.82,8.7,16.98,15.82,4.41,0.32,20.93,6.87,36.3,36.3,38.45,3.93,0
5502,644.72,105.82,105.82,751.07,42.97,5.21,161.37,215.0,53.01,207.45,207.45,214.6,125.86,0
5503,400.87,82.63,82.63,483.92,29.0,5.62,10.81,52.84,37.69,157.64,157.64,158.98,90.57,0
5504,343.38,66.72,66.72,410.42,6.87,4.6,48.72,70.35,29.67,114.28,114.28,121.34,68.88,0
5505,256.39,51.4,51.4,308.12,5.81,3.65,47.69,63.88,25.14,77.21,77.21,81.09,45.89,0
5506,122.65,47.62,47.62,170.38,1.77,1.47,28.88,35.52,13.65,39.24,39.24,41.15,18.84,0
5507,69.77,11.97,12.01,81.78,6.95,0.3,10.34,23.0,5.38,21.38,21.38,21.87,7.52,0
5508,943.7,885.72,1849.31,2901.66,390.94,1388.1,20.32,1999.34,1716.78,6060.71,6060.05,6304.21,417.89,0
5509,345.57,712.65,1310.63,1716.87,7.07,427.33,7.2,477.72,425.58,1850.73,1850.73,1917.93,77.59,0
5510,579.47,750.46,1050.46,1678.4,17.0,358.35,10.82,412.27,474.83,1661.21,1661.21,1703.84,50.61,0
5511,769.53,743.49,1730.69,2538.97,0.96,324.87,25.25,368.92,343.31,1285.14,1285.14,1325.02,138.41,0
5512,1.21,0.0,0.0,1.21,1.79,0.2,0.05,3.45,2.58,17.43,17.43,18.83,1.94,0
5513,0.13,0.0,0.0,0.13,0.63,0.2,0.03,1.5,1.72,12.78,12.78,12.94,0.14,0
5514,0.12,0.0,0.0,0.12,0.61,0.06,0.06,0.99,0.87,13.6,13.6,15.53,-8.01,0
5515,29.0,13.41,23.36,52.36,0.0,0.0,0.48,9.98,0.6,0.0,0.0,0.0,-0.06,1
5516,479.25,0.0,0.0,502.76,34.86,14.08,226.43,353.49,88.96,765.4,765.4,785.81,224.25,0
5517,319.23,0.0,0.0,338.91,29.45,13.7,145.13,238.0,110.27,636.61,636.61,653.26,167.52,0
5518,215.8,0.0,0.01,236.19,23.94,11.02,103.22,157.07,95.12,540.79,540.79,549.51,143.03,0
5519,151.85,0.0,0.0,167.65,19.28,7.89,16.18,57.28,84.47,421.17,421.17,424.06,89.41,0
5520,112.03,0.0,0.0,122.82,13.98,5.61,9.2,36.35,47.55,319.13,319.13,321.1,81.36,0
5521,92.61,19.17,19.17,119.5,9.67,7.22,20.52,45.48,45.0,224.66,224.66,226.92,55.51,0
5522,96.66,0.9,1.08,97.74,7.14,5.85,38.99,69.79,43.75,166.99,166.99,166.99,37.95,0
5523,13.01,14.05,14.77,29.34,15.71,7.65,0.92,32.71,6.52,132.59,119.32,118.64,2.96,0
5524,15.38,16.59,17.24,35.88,19.08,13.57,2.46,46.41,15.71,107.51,97.25,97.59,3.15,0
5525,14.85,18.97,19.56,37.59,18.26,10.52,0.72,37.68,6.8,96.26,86.6,90.45,2.74,0
5526,14.25,11.01,11.55,29.67,14.07,6.34,2.5,24.81,3.1,96.48,88.49,89.77,3.01,0
5527,14.03,16.96,17.45,35.34,17.76,7.17,0.65,32.77,3.45,102.05,93.83,94.29,2.24,0
5528,13.63,17.47,18.26,31.89,14.03,4.58,10.72,34.58,8.1,90.52,84.36,86.84,2.57,0
5529,321.14,98.44,137.22,458.9,127.01,287.89,2.34,436.39,27.36,323.45,323.45,414.58,89.28,0
5530,177.45,138.3,183.19,361.26,139.88,198.01,0.6,360.85,43.39,263.34,263.34,315.61,66.48,0
5531,150.66,88.27,122.35,273.46,70.94,146.47,1.01,247.03,19.84,213.32,213.32,264.22,58.72,0
5532,127.25,94.69,110.05,237.78,89.51,96.92,6.45,218.14,30.04,180.52,180.52,229.42,51.24,0
5533,91.12,80.98,108.44,199.93,65.44,53.13,6.35,155.84,22.45,154.93,154.93,157.8,34.6,0
5534,79.27,78.4,108.62,188.02,61.9,51.44,18.47,160.14,20.43,101.6,101.6,101.27,20.41,0
5535,28.85,22.57,24.64,53.49,14.31,15.73,2.33,37.03,13.19,122.18,117.22,117.79,14.52,0
5536,22.87,26.71,28.28,51.15,15.07,14.31,5.78,39.57,17.33,115.73,112.16,115.3,13.55,0
5537,16.56,21.44,26.23,42.79,16.51,11.75,4.92,37.49,18.01,95.77,95.77,98.08,10.36,0
5538,12.22,17.29,20.94,33.16,10.66,8.53,3.41,25.88,14.58,67.87,67.87,71.22,6.82,0
5539,8.68,8.07,11.31,19.99,7.61,4.46,1.75,16.15,9.32,54.93,54.93,55.77,5.09,0
5540,5.44,8.33,10.69,16.13,5.51,4.32,1.28,13.53,8.67,45.55,45.55,46.06,2.99,0
5541,4.54,7.08,7.65,12.19,3.67,3.53,0.47,9.53,4.77,30.76,29.72,29.66,1.61,0
5542,68.17,38.87,38.87,107.04,52.05,17.02,5.58,98.55,42.9,161.65,157.35,160.47,18.08,0
5543,64.03,36.18,36.18,100.21,54.22,14.11,7.95,105.95,48.83,172.65,168.95,170.78,17.75,0
5544,60.61,31.4,31.4,92.01,46.89,12.28,8.49,96.14,40.61,153.74,149.23,152.2,20.43,0
5545,53.31,26.36,26.36,79.67,40.41,12.47,13.13,90.13,35.58,138.11,133.38,135.77,20.21,0
5546,25.74,21.35,21.35,47.09,33.19,11.65,4.36,66.24,32.36,118.25,115.37,122.03,18.14,0
5547,17.27,18.41,18.5,35.77,25.74,8.13,4.86,51.31,26.15,98.01,95.22,97.07,10.03,0
5548,13.92,18.9,18.99,32.91,19.53,6.41,4.32,38.79,16.04,65.77,64.32,65.71,7.58,0
5549,16.4,41.29,41.29,57.69,0.0,0.0,2.13,17.82,1.44,10.25,10.25,10.25,6.89,0
5550,14.71,24.89,24.89,39.6,0.0,0.0,0.27,10.0,1.23,6.87,6.87,6.87,4.74,0
5551,13.68,15.52,15.52,29.2,0.0,0.0,0.85,6.72,0.77,4.74,4.74,4.74,3.08,0
5552,12.51,7.33,7.33,19.84,0.0,0.0,0.17,3.07,0.42,2.35,2.35,2.35,1.55,0
5553,4.91,3.48,3.48,8.39,7.57,0.0,0.56,8.3,0.27,1.27,1.27,1.27,0.95,0
5554,3.06,2.76,2.76,5.82,5.01,0.0,0.53,5.68,0.17,0.9,0.9,0.91,0.6,0
5555,2.64,2.24,2.24,4.88,4.52,0.0,0.09,4.67,0.12,0.84,0.84,0.84,0.53,0
5556,2102.78,1834.86,2334.86,5072.69,265.86,41.34,67.84,434.67,592.01,6245.76,6105.86,6150.22,746.14,0
5557,1990.91,1142.39,3225.72,5817.2,360.6,41.09,237.41,695.21,725.63,9137.43,9006.26,9113.46,1213.48,0
5558,1635.8,1080.98,3301.33,5469.51,545.13,37.54,211.58,1026.09,895.16,7950.56,7797.42,7908.26,688.61,0
5559,344.19,0.0,1500.0,1847.38,0.0,0.0,0.06,2.58,2.79,0.0,0.0,2.27,0.06,0
5560,317.68,581.44,581.44,908.13,0.0,0.0,245.18,340.68,298.72,113.44,113.44,113.44,92.85,0
5561,156.38,65.0,165.0,323.87,0.0,0.0,11.92,43.06,57.59,45.2,45.2,45.2,37.53,0
5562,142.41,120.0,120.0,264.18,0.0,0.0,22.91,43.23,31.83,43.13,43.13,43.13,24.42,0
5563,8.62,25.89,30.92,39.56,7.24,23.87,0.74,33.56,6.76,40.41,37.37,44.97,5.63,1
5564,8.38,19.86,24.88,33.46,4.21,16.25,0.92,24.44,2.37,46.66,44.39,48.38,4.37,1
5565,5.47,16.03,17.58,23.06,4.41,12.42,2.4,19.65,3.29,41.0,40.85,44.89,3.48,1
5566,4.32,1.6,10.39,14.71,3.7,8.61,0.84,13.41,2.82,30.02,30.02,33.28,2.38,1
5567,3.74,1.53,1.94,5.68,3.93,5.42,0.39,10.22,7.94,20.18,20.18,21.88,1.52,1
5568,2.8,0.24,0.38,3.18,1.7,3.75,0.6,6.12,4.55,14.64,14.64,15.66,1.02,1
5569,35.05,22.04,27.23,62.28,10.98,0.41,4.28,29.5,20.63,43.75,43.75,43.86,23.69,0
5570,22.99,10.21,12.62,35.61,2.69,0.79,0.23,12.55,7.57,21.71,21.71,21.72,8.58,0
5571,10.61,7.7,10.67,21.28,2.38,0.58,0.32,6.17,5.2,11.72,11.72,11.72,3.98,0
5572,5.7,3.45,9.07,14.77,1.69,0.3,0.05,6.32,4.79,8.89,8.89,8.92,3.36,0
5573,4.59,2.14,2.14,6.73,1.05,0.75,0.05,4.85,2.86,9.09,9.09,9.1,1.75,0
5574,3.47,2.33,3.5,6.97,1.56,0.76,0.2,8.89,4.11,5.66,5.66,5.67,1.48,0
5575,2.83,2.27,2.27,5.1,0.97,0.37,0.42,6.66,2.5,4.83,4.83,4.89,1.18,0
